MODEL_NAME,BATCH_SIZE,Mean Time per Sample (s),FPS,STD Time per Sample (s),Mean Energy per Sample (J),STD Energy per Sample (J),Parameters,FLOPs,GPR,Architecture,Pruning Distribution,YOUR_METRIC,Compression Ratio (Parameters) [%],Compression Ratio (FLOPs) [%],% Energy Reduction
AlexNet_DATASET_random_PD4_GPR-55_PRUNED_SEED_23.pth,1,0.0011984646057128,834.4009453705672,0.000268511953341,0.2060427000001072,0.0347381354541905,10038590,173937860,55,AlexNet,PD4,0.5693099740997383,84.0,76.0,23.0
AlexNet_DATASET_random_PD4_GPR-55_PRUNED_SEED_23.pth,8,0.0001487663360595,6721.950855868166,2.326923469946694e-05,0.0333458500000182,0.0036385539343704,10038590,1391502880,55,AlexNet,PD4,0.5693099740997383,84.0,76.0,40.0
AlexNet_DATASET_random_PD4_GPR-55_PRUNED_SEED_23.pth,16,6.69554069519043e-05,14935.313599368072,5.525869821864868e-06,0.0198315124999615,0.0015087131181572,10038590,2783005760,55,AlexNet,PD4,0.5693099740997383,84.0,76.0,51.0
AlexNet_DATASET_random_PD4_GPR-55_PRUNED_SEED_23.pth,32,5.018179473876954e-05,19927.54554128009,1.021462201966442e-07,0.0159369906250038,0.0005972607531041,10038590,5566011520,55,AlexNet,PD4,0.5693099740997383,84.0,76.0,53.0
AlexNet_DATASET_random_PD4_GPR-55_PRUNED_SEED_23.pth,64,4.231171474456788e-05,23634.11660427644,1.387898651487708e-07,0.013443739062504,0.000472036529216,10038590,11132023040,55,AlexNet,PD4,0.5693099740997383,84.0,76.0,51.0
AlexNet_DATASET_random_PD5_GPR-40_PRUNED_SEED_23.pth,1,0.0011110082427978,900.083331048652,9.907464138874343e-05,0.2253402000004425,0.0202761678916998,26408660,274814480,40,AlexNet,PD5,0.766598181695353,57.0,62.0,15.0
AlexNet_DATASET_random_PD5_GPR-40_PRUNED_SEED_23.pth,8,0.0001333151512145,7501.022883665212,1.1067883645180842e-05,0.0400414500000188,0.003167336216408,26408660,2198515840,40,AlexNet,PD5,0.766598181695353,57.0,62.0,28.0
AlexNet_DATASET_random_PD5_GPR-40_PRUNED_SEED_23.pth,16,7.402046737670898e-05,13509.776896040736,1.149029845156403e-07,0.0231591812499566,0.0011232650741935,26408660,4397031680,40,AlexNet,PD5,0.766598181695353,57.0,62.0,42.0
AlexNet_DATASET_random_PD5_GPR-40_PRUNED_SEED_23.pth,32,6.28161584854126e-05,15919.47078763538,8.631873785778733e-08,0.0198798875000036,0.0006071003943571,26408660,8794063360,40,AlexNet,PD5,0.766598181695353,57.0,62.0,41.0
AlexNet_DATASET_random_PD5_GPR-40_PRUNED_SEED_23.pth,64,5.719667339324951e-05,17483.53428047482,3.9845119549164056e-08,0.0173631609374977,4.684804190098672e-05,26408660,17588126720,40,AlexNet,PD5,0.766598181695353,57.0,62.0,36.0
AlexNet_DATASET_random_PD4_GPR-35_PRUNED_SEED_23.pth,1,0.001304612335205,766.511225606958,0.0002693651197691,0.264623900000751,0.0485843000002211,23754090,331946006,35,AlexNet,PD4,0.6314784384917901,61.0,54.0,0.0
AlexNet_DATASET_random_PD4_GPR-35_PRUNED_SEED_23.pth,8,0.0001453069290161,6881.984271301395,1.7532347429957837e-05,0.0419214875000296,0.0045538187029232,23754090,2655568048,35,AlexNet,PD4,0.6314784384917901,61.0,54.0,25.0
AlexNet_DATASET_random_PD4_GPR-35_PRUNED_SEED_23.pth,16,9.193816375732424e-05,10876.875925426944,1.364634466268478e-06,0.0280662687499774,0.0017835355301395,23754090,5311136096,35,AlexNet,PD4,0.6314784384917901,61.0,54.0,30.0
AlexNet_DATASET_random_PD4_GPR-35_PRUNED_SEED_23.pth,32,7.582996177673342e-05,13187.399499742667,1.6339666170060885e-07,0.0237017749999882,0.0008129813789902,23754090,10622272192,35,AlexNet,PD4,0.6314784384917901,61.0,54.0,30.0
